No.,설비속성ID,설비속성명,설비속성식별명,설비속성설명,속성그룹,속성구분,데이터유형,최대길이,소수점자리수,단위그룹,기본단위,필수속성,정렬순서,상세설비속성여부,사용여부
79,10027,ACCELEROMETER MODEL,,ACCELEROMETER MODEL,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10027,N,Y
80,10028,ACCELEROMETER MONITOR_ALARM SET AT,,ACCELEROMETER MONITOR_ALARM SET AT,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,10028,N,Y
81,10029,ACCELEROMETER MONITOR_LOCATION,,ACCELEROMETER MONITOR_LOCATION,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10029,N,Y
82,10030,ACCELEROMETER MONITOR_MANUFACTURER,,ACCELEROMETER MONITOR_MANUFACTURER,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10030,N,Y
83,10031,ACCELEROMETER MONITOR_MODEL,,ACCELEROMETER MONITOR_MODEL,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10031,N,Y
84,10032,ACCELEROMETER MONITOR_SCALE RANGE,,ACCELEROMETER MONITOR_SCALE RANGE,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10032,N,Y
85,10033,ACCELEROMETER MONITOR_SHUTDOWN SET AT,,ACCELEROMETER MONITOR_SHUTDOWN SET AT,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,10033,N,Y
86,10034,ACCELEROMETER MONITOR_SHUTDOWN TIME DELAY,,ACCELEROMETER MONITOR_SHUTDOWN TIME DELAY,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,10034,N,Y
87,10035,ACCELEROMETER MONITOR_SUPPLIED BY,,ACCELEROMETER MONITOR_SUPPLIED BY,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10035,N,Y
88,10036,ACCELEROMETER NUMBER REQUIRED,,ACCELEROMETER NUMBER REQUIRED,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10036,N,Y
89,10037,ACCELEROMETER TYPE,,ACCELEROMETER TYPE,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10037,N,Y
90,10038,ACCELEROMETER_LOCATION,,ACCELEROMETER_LOCATION,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10038,N,Y
91,10039,ACCELEROMETER_MANUFACTURER,,ACCELEROMETER_MANUFACTURER,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10039,N,Y
92,10040,ACCELEROMETER_MODEL,,ACCELEROMETER_MODEL,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10040,N,Y
93,10041,ACCELEROMETER_MONITOR SUPPLIED BY,,ACCELEROMETER_MONITOR SUPPLIED BY,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10041,N,Y
94,10042,ACCELEROMETER_MONITOR_ALARM SET AT,,ACCELEROMETER_MONITOR_ALARM SET AT,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10042,N,Y
95,10043,ACCELEROMETER_MONITOR_ENCLOSURE,,ACCELEROMETER_MONITOR_ENCLOSURE,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10043,N,Y
96,10044,ACCELEROMETER_MONITOR_LOCATION,,ACCELEROMETER_MONITOR_LOCATION,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10044,N,Y
97,10045,ACCELEROMETER_MONITOR_MANUFACTURER,,ACCELEROMETER_MONITOR_MANUFACTURER,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10045,N,Y
98,10046,ACCELEROMETER_MONITOR_MODEL,,ACCELEROMETER_MONITOR_MODEL,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10046,N,Y
99,10047,ACCELEROMETER_MONITOR_SCALE RANGE,,ACCELEROMETER_MONITOR_SCALE RANGE,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10047,N,Y
100,10048,ACCELEROMETER_MONITOR_SHUT DOWN REQUIRED,,ACCELEROMETER_MONITOR_SHUT DOWN REQUIRED,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,10048,N,Y
101,10049,ACCELEROMETER_MONITOR_SHUT DOWN SET AT,,ACCELEROMETER_MONITOR_SHUT DOWN SET AT,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10049,N,Y
102,10050,ACCELEROMETER_MONITOR_SHUTDOWN TIME DELAY,,ACCELEROMETER_MONITOR_SHUTDOWN TIME DELAY,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10050,N,Y
103,10051,ACCELEROMETER_NUMBER,,ACCELEROMETER_NUMBER,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10051,N,Y
104,10052,ACCELEROMETER_OSCILLATOR DEMODULATOR MANUFACTURER,,ACCELEROMETER_OSCILLATOR DEMODULATOR MANUFACTURER,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10052,N,Y
105,10053,ACCELEROMETER_OSCILLATOR DEMODULATOR MODEL,,ACCELEROMETER_OSCILLATOR DEMODULATOR MODEL,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10053,N,Y
106,10054,ACCELEROMETER_OSCILLATOR DEMODULATOR SUPPLIED BY,,ACCELEROMETER_OSCILLATOR DEMODULATOR SUPPLIED BY,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10054,N,Y
107,10055,ACCUMULATOR BLADDER OR PISTON MATERIAL,,ACCUMULATOR BLADDER OR PISTON MATERIAL,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,10055,N,Y
108,10056,ACCUMULATOR CAPACITY,,ACCUMULATOR CAPACITY,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,10056,N,Y
109,10057,ACCUMULATOR MANUFACTURER,,ACCUMULATOR MANUFACTURER,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,10057,N,Y
110,10058,ACCUMULATOR MODEL,,ACCUMULATOR MODEL,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,10058,N,Y
111,10059,ACCUMULATOR NOT REQUIRED,,ACCUMULATOR NOT REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,10059,N,Y
112,10060,ACCUMULATOR PRECHARGE PRESSURE,,ACCUMULATOR PRECHARGE PRESSURE,LOADING ARM 공통,개별속성,숫자,18.0,5.0,,,N,10060,N,Y
113,10061,ACCUMULATOR PRECHARGE PRESSURE REQUIRED,,ACCUMULATOR PRECHARGE PRESSURE REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,10061,N,Y
114,10062,ACCUMULATOR REQUIRED,,ACCUMULATOR REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,10062,N,Y
115,10063,ACCUMULATOR SIZE,,ACCUMULATOR SIZE,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,10063,N,Y
116,10064,ACOUSTIC HOUSING Y/N,,ACOUSTIC HOUSING Y/N,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10064,N,Y
117,10065,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10065,N,Y
118,10066,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10066,N,Y
119,10067,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10067,N,Y
120,10068,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) SILENCED SOUND PRESSURE LEVE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (125) SILENCED SOUND PRESSURE LEVE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10068,N,Y
121,10069,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10069,N,Y
122,10070,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10070,N,Y
123,10071,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10071,N,Y
124,10072,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) SILENCED SOUND PRESSURE LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (1K) SILENCED SOUND PRESSURE LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10072,N,Y
125,10073,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10073,N,Y
126,10074,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10074,N,Y
127,10075,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10075,N,Y
128,10076,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) SILENCED SOUND PRESSURE LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (250) SILENCED SOUND PRESSURE LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10076,N,Y
129,10077,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10077,N,Y
130,10078,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10078,N,Y
131,10079,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10079,N,Y
132,10080,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) SILENCED SOUND PRESSURE LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (2K) SILENCED SOUND PRESSURE LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10080,N,Y
133,10081,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10081,N,Y
134,10082,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10082,N,Y
135,10083,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10083,N,Y
136,10084,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) SILENCED SOUND PRESSURE LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (31.5) SILENCED SOUND PRESSURE LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10084,N,Y
137,10085,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10085,N,Y
138,10086,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) GUARANTEED DYNAMIC INSERTION LOSS,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) GUARANTEED DYNAMIC INSERTION LOSS,SILENCER,개별속성,숫자,18.0,5.0,,,N,10086,N,Y
139,10087,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) SILENCED SOUND POWER LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) SILENCED SOUND POWER LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10087,N,Y
140,10088,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) SILENCED SOUND PRESSURE LEVEL,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (4K) SILENCED SOUND PRESSURE LEVEL,SILENCER,개별속성,숫자,18.0,5.0,,,N,10088,N,Y
141,10089,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (500) ESTIMATED SOUND POWER LEVEL OF SOURCE,,ACOUSTIC PERFORMANCE OCTAVE BAND CENTRE FREQUENCY (500) ESTIMATED SOUND POWER LEVEL OF SOURCE,SILENCER,개별속성,숫자,18.0,5.0,,,N,10089,N,Y
